COUNTRY,YEAR,FATALITIES,region_group
Afghanistan,2017,36360,Global South
Afghanistan,2018,42991,Global South
Afghanistan,2019,41419,Global South
Afghanistan,2020,31037,Global South
Afghanistan,2021,42425,Global South
Afghanistan,2022,4152,Global South
Afghanistan,2023,1152,Global South
Afghanistan,2024,1363,Global South
Akrotiri and Dhekelia,2018,0,Global South
Akrotiri and Dhekelia,2019,0,Global South
Akrotiri and Dhekelia,2020,0,Global South
Akrotiri and Dhekelia,2021,0,Global South
Akrotiri and Dhekelia,2022,0,Global South
Akrotiri and Dhekelia,2023,0,Global South
Akrotiri and Dhekelia,2024,0,Global South
Albania,2018,1,Global South
Albania,2019,0,Global South
Albania,2020,0,Global South
Albania,2021,1,Global South
Albania,2022,0,Global South
Albania,2023,1,Global South
Albania,2024,1,Global South
Algeria,2015,154,Global South
Algeria,2016,129,Global South
Algeria,2017,145,Global South
Algeria,2018,66,Global South
Algeria,2019,22,Global South
Algeria,2020,33,Global South
Algeria,2021,25,Global South
Algeria,2022,27,Global South
Algeria,2023,13,Global South
Algeria,2024,35,Global South
American Samoa,2021,0,Western
American Samoa,2022,0,Western
Andorra,2020,0,Western
Andorra,2021,0,Western
Andorra,2022,0,Western
Andorra,2023,0,Western
Andorra,2024,0,Western
Angola,2015,23,Global South
Angola,2016,115,Global South
Angola,2017,67,Global South
Angola,2018,41,Global South
Angola,2019,24,Global South
Angola,2020,74,Global South
Angola,2021,150,Global South
Angola,2022,107,Global South
Angola,2023,66,Global South
Angola,2024,98,Global South
Anguilla,2018,0,Global South
Anguilla,2019,0,Global South
Anguilla,2020,0,Global South
Anguilla,2021,0,Global South
Anguilla,2022,0,Global South
Anguilla,2023,0,Global South
Anguilla,2024,0,Global South
Antarctica,2021,0,Global South
Antarctica,2022,0,Global South
Antarctica,2023,0,Global South
Antarctica,2024,0,Global South
Antigua and Barbuda,2018,0,Western
Antigua and Barbuda,2019,0,Western
Antigua and Barbuda,2020,2,Western
Antigua and Barbuda,2021,0,Western
Antigua and Barbuda,2022,0,Western
Antigua and Barbuda,2023,1,Western
Antigua and Barbuda,2024,3,Western
Argentina,2018,27,Global South
Argentina,2019,24,Global South
Argentina,2020,24,Global South
Argentina,2021,19,Global South
Argentina,2022,16,Global South
Argentina,2023,7,Global South
Argentina,2024,3,Global South
Armenia,2018,6,Global South
Armenia,2019,2,Global South
Armenia,2020,27,Global South
Armenia,2021,24,Global South
Armenia,2022,210,Global South
Armenia,2023,24,Global South
Armenia,2024,4,Global South
Aruba,2018,0,Western
Aruba,2019,0,Western
Aruba,2020,0,Western
Aruba,2021,0,Western
Aruba,2022,0,Western
Aruba,2023,0,Western
Aruba,2024,0,Western
Australia,2021,0,Western
Australia,2022,7,Western
Australia,2023,0,Western
Australia,2024,0,Western
Austria,2020,6,Western
Austria,2021,0,Western
Austria,2022,0,Western
Austria,2023,0,Western
Austria,2024,0,Western
Azerbaijan,2018,47,Global South
Azerbaijan,2019,14,Global South
Azerbaijan,2020,7057,Global South
Azerbaijan,2021,33,Global South
Azerbaijan,2022,68,Global South
Azerbaijan,2023,570,Global South
Azerbaijan,2024,2,Global South
Bahamas,2018,0,Western
Bahamas,2019,0,Western
Bahamas,2020,4,Western
Bahamas,2021,2,Western
Bahamas,2022,0,Western
