country,total_articles,avg_wordcount,med_wordcount,total_fatalities,region_group,Animals farmed,Art and design,Australia news,Books,Business,Business to business,Children's books,Cities,Community,Crosswords,Culture,Culture professionals network,Education,Environment,Fashion,Film,Food,Football,From the Guardian,From the Observer,Games,Global,Global Development Professionals Network,Global development,Guardian Careers,Guardian Foundation,Guardian Small Business Network,Guardian Sustainable Business,Healthcare Professionals Network,Housing Network,Inequality,Info,Law,Life and style,Media,Media Network,Membership,Money,Music,News,Opinion,Politics,Public Leaders Network,Science,Social Care Network,Society,Society Professionals,Sport,Stage,Teacher Network,Technology,Television & radio,Travel,UK news,US news,Vital Signs,Voluntary Sector Network,Weather,Wellness,Women in Leadership,Working in development,World news,articles_per_1000_fatalities
Afghanistan,2656,983.1336596385543,783.0,200899,Global South,0.0,0.37650602409638556,9.375,0.9789156626506025,0.15060240963855423,0.0,0.0,0.15060240963855423,0.0,0.0,0.30120481927710846,0.0,0.0,0.2635542168674699,0.03765060240963856,1.5060240963855422,0.03765060240963856,0.9036144578313252,0.0,0.03765060240963856,0.0,0.07530120481927711,0.30120481927710846,12.123493975903614,0.0,0.0,0.03765060240963856,0.0,0.0,0.0,0.0,0.0,0.338855421686747,0.41415662650602414,0.9036144578313252,0.0,0.0,0.0,0.2635542168674699,0.2635542168674699,10.993975903614457,3.7650602409638556,0.0,0.11295180722891565,0.0,0.48945783132530124,0.0,0.5647590361445783,0.18825301204819278,0.0,0.15060240963855423,0.48945783132530124,0.03765060240963856,6.77710843373494,5.98644578313253,0.0,0.03765060240963856,0.0,0.0,0.0,0.677710843373494,40.88855421686747,13.220573522018526
Albania,162,1049.0432098765432,797.5,4,Global South,0.0,2.4691358024691357,0.0,6.172839506172839,0.6172839506172839,0.0,0.0,2.4691358024691357,0.0,0.0,1.2345679012345678,0.0,0.0,5.555555555555555,0.6172839506172839,0.0,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,1.2345679012345678,3.0864197530864197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6172839506172839,0.0,0.6172839506172839,0.0,0.0,0.0,0.6172839506172839,1.2345679012345678,11.11111111111111,4.320987654320987,0.6172839506172839,0.0,0.0,0.0,0.0,0.0,1.8518518518518516,0.0,0.0,0.6172839506172839,0.0,17.901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.80246913580247,40500.0
Algeria,130,846.1769230769231,761.5,649,Global South,0.0,3.076923076923077,0.7692307692307693,5.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,1.5384615384615385,0.0,4.615384615384616,0.0,1.5384615384615385,0.0,0.7692307692307693,0.0,0.0,0.7692307692307693,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,2.307692307692308,0.0,0.0,0.0,5.384615384615385,0.7692307692307693,8.461538461538462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,51.53846153846153,200.30816640986131
Andorra,5,718.2,772.0,0,Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,
Angola,117,900.2820512820513,756.0,765,Global South,0.0,3.418803418803419,0.0,0.0,3.418803418803419,0.0,0.0,2.564102564102564,0.0,0.0,0.0,0.0,0.0,3.418803418803419,0.0,2.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,1.7094017094017095,13.675213675213676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7094017094017095,0.0,0.0,0.0,1.7094017094017095,0.8547008547008548,6.837606837606838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8547008547008548,0.0,0.0,1.7094017094017095,0.8547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,54.700854700854705,152.94117647058826
Antarctica,434,773.9953917050691,653.0,0,Global South,0.0,0.4608294930875576,5.529953917050691,2.0737327188940093,0.0,0.0,0.0,0.0,0.0,0.0,0.2304147465437788,0.0,0.0,32.48847926267281,0.0,2.3041474654377883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6129032258064515,0.0,0.0,0.0,0.0,0.4608294930875576,3.225806451612903,4.838709677419355,0.0,0.0,7.373271889400922,0.0,0.0,0.0,0.4608294930875576,0.0,0.0,0.0,0.6912442396313364,0.2304147465437788,0.6912442396313364,0.6912442396313364,0.0,0.0,0.0,0.0,0.0,0.0,36.63594470046083,
Antigua and Barbuda,46,1926.9347826086957,698.5,6,Western,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.869565217391305,2.1739130434782608,0.0,0.0,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,10.869565217391305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,2.1739130434782608,0.0,0.0,2.1739130434782608,0.0,8.695652173913043,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,2.1739130434782608,43.47826086956522,7666.666666666667
Argentina,736,817.6127717391304,720.5,120,Global South,0.0,1.6304347826086956,0.1358695652173913,2.0380434782608696,1.9021739130434785,0.0,0.0,1.4945652173913044,0.1358695652173913,0.0,0.0,0.0,0.0,5.706521739130435,0.1358695652173913,4.755434782608696,0.4076086956521739,6.385869565217392,0.0,0.1358695652173913,0.0,0.0,0.6793478260869565,9.103260869565217,0.0,0.0,0.0,0.0,0.1358695652173913,0.0,0.0,0.0,0.0,0.2717391304347826,1.358695652173913,0.0,0.0,0.0,1.766304347826087,0.8152173913043478,3.940217391304348,1.2228260869565217,0.0,1.358695652173913,0.0,0.2717391304347826,0.0,1.358695652173913,0.6793478260869565,0.0,0.6793478260869565,0.4076086956521739,0.2717391304347826,4.076086956521739,0.9510869565217392,0.0,0.0,0.0,0.0,0.1358695652173913,0.5434782608695652,45.108695652173914,6133.333333333334
Armenia,185,825.3135135135135,763.0,297,Global South,0.0,2.7027027027027026,0.0,0.5405405405405406,0.5405405405405406,0.0,0.0,1.0810810810810811,0.0,0.0,0.0,0.0,0.5405405405405406,1.0810810810810811,0.0,2.7027027027027026,0.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.5405405405405406,2.1621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.0,0.0,0.0,0.0,0.0,1.6216216216216217,0.5405405405405406,8.108108108108109,0.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,0.5405405405405406,0.0,0.5405405405405406,0.0,0.0,0.0,2.1621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,72.97297297297297,622.895622895623
Australia,38000,1326.301552631579,756.0,7,Western,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5428571.428571428
