country,year,month,article_count,avg_wordcount,monthly_fatalities,region_group
Afghanistan,2015,1,24,977.25,,
Afghanistan,2015,2,25,737.4,,
Afghanistan,2015,3,28,756.1785714285714,,
Afghanistan,2015,4,15,835.6666666666666,,
Afghanistan,2015,5,32,777.53125,,
Afghanistan,2015,6,15,974.9333333333333,,
Afghanistan,2015,7,18,790.9444444444445,,
Afghanistan,2015,8,27,827.3703703703703,,
Afghanistan,2015,9,26,1113.6153846153845,,
Afghanistan,2015,10,67,957.2985074626865,,
Afghanistan,2015,11,20,836.15,,
Afghanistan,2015,12,29,793.9310344827586,,
Afghanistan,2016,1,19,831.6842105263158,,
Afghanistan,2016,2,16,994.1875,,
Afghanistan,2016,3,21,900.952380952381,,
Afghanistan,2016,4,18,817.8333333333334,,
Afghanistan,2016,5,36,945.6666666666666,,
Afghanistan,2016,6,6,1288.0,,
Afghanistan,2016,7,13,720.7692307692307,,
Afghanistan,2016,8,11,666.6363636363636,,
Afghanistan,2016,9,17,866.8823529411765,,
Afghanistan,2016,10,22,1167.8181818181818,,
Afghanistan,2016,11,18,823.0555555555555,,
Afghanistan,2016,12,13,852.3846153846154,,
Afghanistan,2017,1,13,669.3846153846154,3030.0,Global South
Afghanistan,2017,2,13,761.1538461538462,3030.0,Global South
Afghanistan,2017,3,23,925.2608695652174,3030.0,Global South
Afghanistan,2017,4,19,717.421052631579,3030.0,Global South
Afghanistan,2017,5,12,674.6666666666666,3030.0,Global South
Afghanistan,2017,6,10,793.8,3030.0,Global South
Afghanistan,2017,7,7,1149.7142857142858,3030.0,Global South
Afghanistan,2017,8,25,717.32,3030.0,Global South
Afghanistan,2017,9,13,779.0,3030.0,Global South
Afghanistan,2017,10,8,1201.75,3030.0,Global South
Afghanistan,2017,11,9,700.2222222222222,3030.0,Global South
Afghanistan,2017,12,9,757.1111111111111,3030.0,Global South
Afghanistan,2018,1,16,655.3125,3582.5833333333335,Global South
Afghanistan,2018,2,15,795.2666666666667,3582.5833333333335,Global South
Afghanistan,2018,3,4,1280.0,3582.5833333333335,Global South
Afghanistan,2018,4,5,738.8,3582.5833333333335,Global South
Afghanistan,2018,5,18,724.6111111111111,3582.5833333333335,Global South
Afghanistan,2018,6,15,801.3333333333334,3582.5833333333335,Global South
Afghanistan,2018,7,10,739.5,3582.5833333333335,Global South
Afghanistan,2018,8,7,668.4285714285714,3582.5833333333335,Global South
Afghanistan,2018,9,9,844.5555555555555,3582.5833333333335,Global South
Afghanistan,2018,10,10,735.2,3582.5833333333335,Global South
Afghanistan,2018,11,11,706.4545454545455,3582.5833333333335,Global South
Afghanistan,2018,12,11,733.9090909090909,3582.5833333333335,Global South
Afghanistan,2019,1,9,735.7777777777778,3451.5833333333335,Global South
Afghanistan,2019,2,11,695.8181818181819,3451.5833333333335,Global South
Afghanistan,2019,3,10,763.5,3451.5833333333335,Global South
Afghanistan,2019,4,9,676.0,3451.5833333333335,Global South
Afghanistan,2019,5,13,627.1538461538462,3451.5833333333335,Global South
Afghanistan,2019,6,7,755.2857142857143,3451.5833333333335,Global South
Afghanistan,2019,7,8,688.25,3451.5833333333335,Global South
Afghanistan,2019,8,8,695.125,3451.5833333333335,Global South
Afghanistan,2019,9,16,725.375,3451.5833333333335,Global South
Afghanistan,2019,10,7,897.7142857142857,3451.5833333333335,Global South
Afghanistan,2019,11,14,791.0714285714286,3451.5833333333335,Global South
Afghanistan,2019,12,13,990.5384615384615,3451.5833333333335,Global South
Afghanistan,2020,1,7,725.7142857142857,2586.4166666666665,Global South
Afghanistan,2020,2,8,1636.875,2586.4166666666665,Global South
Afghanistan,2020,3,14,738.4285714285714,2586.4166666666665,Global South
Afghanistan,2020,4,9,832.4444444444445,2586.4166666666665,Global South
Afghanistan,2020,5,19,820.7894736842105,2586.4166666666665,Global South
Afghanistan,2020,6,17,758.1764705882352,2586.4166666666665,Global South
Afghanistan,2020,7,12,676.0833333333334,2586.4166666666665,Global South
