Entity,Code,Year,World Bank's income classification
Liberia,LBR,2024,Low-income countries
Zambia,ZMB,2024,Lower-middle-income countries
Afghanistan,AFG,2024,Low-income countries
Lesotho,LSO,2024,Lower-middle-income countries
Libya,LBY,2024,Upper-middle-income countries
Lebanon,LBN,2024,Lower-middle-income countries
Liechtenstein,LIE,2024,High-income countries
Latvia,LVA,2024,High-income countries
Laos,LAO,2024,Lower-middle-income countries
Lithuania,LTU,2024,High-income countries
Kyrgyzstan,KGZ,2024,Lower-middle-income countries
Luxembourg,LUX,2024,High-income countries
Kuwait,KWT,2024,High-income countries
Macao,MAC,2024,High-income countries
Kosovo,OWID_KOS,2024,Upper-middle-income countries
Kiribati,KIR,2024,Lower-middle-income countries
Madagascar,MDG,2024,Low-income countries
Kenya,KEN,2024,Lower-middle-income countries
Malawi,MWI,2024,Low-income countries
Kazakhstan,KAZ,2024,Upper-middle-income countries
Malaysia,MYS,2024,Upper-middle-income countries
Jordan,JOR,2024,Lower-middle-income countries
Maldives,MDV,2024,Upper-middle-income countries
Japan,JPN,2024,High-income countries
Mali,MLI,2024,Low-income countries
Jamaica,JAM,2024,Upper-middle-income countries
Malta,MLT,2024,High-income countries
Italy,ITA,2024,High-income countries
Marshall Islands,MHL,2024,Upper-middle-income countries
Israel,ISR,2024,High-income countries
Mauritania,MRT,2024,Lower-middle-income countries
Isle of Man,IMN,2024,High-income countries
Mauritius,MUS,2024,Upper-middle-income countries
Yemen,YEM,2024,Low-income countries
Albania,ALB,2024,Upper-middle-income countries
Ireland,IRL,2024,High-income countries
Mexico,MEX,2024,Upper-middle-income countries
Iraq,IRQ,2024,Upper-middle-income countries
Micronesia (country),FSM,2024,Lower-middle-income countries
Iran,IRN,2024,Upper-middle-income countries
Moldova,MDA,2024,Upper-middle-income countries
Indonesia,IDN,2024,Upper-middle-income countries
Monaco,MCO,2024,High-income countries
India,IND,2024,Lower-middle-income countries
Mongolia,MNG,2024,Upper-middle-income countries
Iceland,ISL,2024,High-income countries
Montenegro,MNE,2024,Upper-middle-income countries
Hungary,HUN,2024,High-income countries
Morocco,MAR,2024,Lower-middle-income countries
Hong Kong,HKG,2024,High-income countries
Mozambique,MOZ,2024,Low-income countries
Honduras,HND,2024,Lower-middle-income countries
Myanmar,MMR,2024,Lower-middle-income countries
Haiti,HTI,2024,Lower-middle-income countries
Guyana,GUY,2024,High-income countries
Namibia,NAM,2024,Lower-middle-income countries
Nauru,NRU,2024,High-income countries
Guinea-Bissau,GNB,2024,Low-income countries
Nepal,NPL,2024,Lower-middle-income countries
Guinea,GIN,2024,Lower-middle-income countries
Netherlands,NLD,2024,High-income countries
Guatemala,GTM,2024,Upper-middle-income countries
New Caledonia,NCL,2024,High-income countries
Guam,GUM,2024,High-income countries
New Zealand,NZL,2024,High-income countries
Algeria,DZA,2024,Upper-middle-income countries
Grenada,GRD,2024,Upper-middle-income countries
Nicaragua,NIC,2024,Lower-middle-income countries
Greenland,GRL,2024,High-income countries
Niger,NER,2024,Low-income countries
Greece,GRC,2024,High-income countries
Nigeria,NGA,2024,Lower-middle-income countries
Gibraltar,GIB,2024,High-income countries
Ghana,GHA,2024,Lower-middle-income countries
North Korea,PRK,2024,Low-income countries
Germany,DEU,2024,High-income countries
North Macedonia,MKD,2024,Upper-middle-income countries
Georgia,GEO,2024,Upper-middle-income countries
Northern Mariana Islands,MNP,2024,High-income countries
Gambia,GMB,2024,Low-income countries
Norway,NOR,2024,High-income countries
Vietnam,VNM,2024,Lower-middle-income countries
Gabon,GAB,2024,Upper-middle-income countries
Oman,OMN,2024,High-income countries
French Southern Territories,ATF,2024,High-income countries
Pakistan,PAK,2024,Lower-middle-income countries
French Polynesia,PYF,2024,High-income countries
Palau,PLW,2024,High-income countries
French Guiana,GUF,2024,High-income countries
Palestine,PSE,2024,Lower-middle-income countries
France,FRA,2024,High-income countries
Panama,PAN,2024,High-income countries
Finland,FIN,2024,High-income countries
Papua New Guinea,PNG,2024,Lower-middle-income countries
Fiji,FJI,2024,Upper-middle-income countries
Paraguay,PRY,2024,Upper-middle-income countries
Faroe Islands,FRO,2024,High-income countries
Peru,PER,2024,Upper-middle-income countries
Philippines,PHL,2024,Lower-middle-income countries
eSwatini,SWZ,2024,Lower-middle-income countries
Poland,POL,2024,High-income countries
Estonia,EST,2024,High-income countries
Portugal,PRT,2024,High-income countries
Eritrea,ERI,2024,Low-income countries
Puerto Rico,PRI,2024,High-income countries
Equatorial Guinea,GNQ,2024,Upper-middle-income countries
Qatar,QAT,2024,High-income countries
El Salvador,SLV,2024,Upper-middle-income countries
Romania,ROU,2024,High-income countries
Egypt,EGY,2024,Lower-middle-income countries
Russia,RUS,2024,High-income countries
Ecuador,ECU,2024,Upper-middle-income countries
Rwanda,RWA,2024,Low-income countries
East Timor,TLS,2024,Lower-middle-income countries
Dominican Republic,DOM,2024,Upper-middle-income countries
American Samoa,ASM,2024,High-income countries
Saint Kitts and Nevis,KNA,2024,High-income countries
Dominica,DMA,2024,Upper-middle-income countries
Djibouti,DJI,2024,Lower-middle-income countries
Saint Lucia,LCA,2024,Upper-middle-income countries
